번호,기간,고급휘발유,휘발유,경유,실내등유
A0006886,20260629,2340,1938,1914,0
A0008289,20260629,0,1985,1975,0
A0012035,20260629,2644,2088,2078,0
A0006877,20260629,0,1846,1826,0
A0000004,20260629,2455,1979,1969,0
A0000253,20260629,0,1846,1826,0
A0008390,20260629,0,1868,1858,1670
A0006041,20260629,0,1938,1928,1600
A0008426,20260629,0,1846,1826,0
A0008276,20260629,0,2089,2079,1780
A0006859,20260629,0,1938,1928,0
A0008346,20260629,0,2094,2083,0
A0008349,20260629,0,1968,1958,0
A0008301,20260629,0,1998,1998,0
A0006829,20260629,0,1847,1827,0
A0006857,20260629,2458,1938,1928,1630
A0008322,20260629,0,1955,1945,0
A0006856,20260629,0,1898,1899,0
A0008422,20260629,2460,1978,1978,0
A0005861,20260629,0,1978,1967,1490
A0006858,20260629,2458,1938,1928,1600
A0006853,20260629,2398,1846,1826,0
A0008429,20260629,2458,1938,1928,0
A0006855,20260629,0,1938,1928,0
A0008143,20260629,0,1979,1969,0
A0006874,20260629,2295,1895,1875,0
A0011922,20260629,0,1980,1975,1500
A0004144,20260629,2450,1923,1923,0
A0003743,20260629,0,1988,1986,1600
A0004022,20260629,2389,2012,1996,1650
A0004067,20260629,0,1955,1955,1700
A0003858,20260629,0,1975,1975,0
A0003604,20260629,2455,1965,1965,1700
A0004026,20260629,0,1894,1887,1600
A0003969,20260629,0,1938,1958,1650
A0009995,20260629,0,2119,2119,1750
A0003590,20260629,2314,1937,1921,1660
A0004090,20260629,2310,1924,1924,0
A0004075,20260629,2329,1934,1909,0
A0004151,20260629,2349,1919,1908,0
A0003584,20260629,0,2097,2095,1650
A0011929,20260629,0,1975,1965,1600
