번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000644,경기 고양시,덕양제1주유소,경기 고양시 덕양구 서오릉로 832 (성사동),20260629,SK에너지,셀프,2264,1844,1844,0
A0000640,경기 고양시,덕양제2주유소,경기 고양시 일산서구 경의로 940,20260629,SK에너지,셀프,2279,1887,1882,0
A0005083,경기 고양시,덕양제3주유소,경기 고양시 덕양구 동헌로 187 (대자동),20260629,SK에너지,셀프,0,1997,1997,1600
A0005441,경기 고양시,덕양제4주유소,경기 고양시 일산동구  고봉로 847 (설문동),20260629,SK에너지,셀프,0,1854,1854,1600
A0005234,경기 고양시,덕양제5주유소,경기 고양시 일산서구 고양대로 120 (법곳동),20260629,SK에너지,셀프,2299,1895,1898,0
A0005436,경기 고양시,덕양제7주유소,경기 고양시 일산동구 무궁화로 250 (풍동),20260629,알뜰주유소,셀프,0,1844,1844,0
A0005181,경기 고양시,덕양주유소,경기 고양시 덕양구 충장로 142 (행신동),20260629,알뜰주유소,셀프,0,1844,1844,0
A0005442,경기 고양시,덕이셀프주유소,경기 고양시 일산서구 덕이로 94 (덕이동),20260629,S-OIL,셀프,0,1884,1884,0
A0005298,경기 고양시,동원2주유소,경기 고양시 덕양구 통일로 1180 (내유동),20260629,GS칼텍스,셀프,0,1899,1899,1600
A0011921,경기 고양시,명성주유소,경기 고양시 덕양구 호국로 1628 (벽제동),20260629,SK에너지,셀프,0,1844,1844,0
A0000110,경기 고양시,목장주유소,경기 고양시 덕양구 호국로 932,20260629,S-OIL,셀프,2377,1867,1867,1700
A0005348,경기 고양시,백신주유소,경기 고양시 일산동구 장항로 79 (백석동),20260629,HD현대오일뱅크,일반,0,2027,2017,1650
A0005253,경기 고양시,벽제석유㈜,경기 고양시 덕양구 혜음로 181,20260629,SK에너지,셀프,0,1994,1984,0
A0005103,경기 고양시,북한산주유소,경기 고양시 덕양구 북한산로 539 (효자동),20260629,알뜰주유소,셀프,0,1911,1911,1700
A0005557,경기 고양시,비전에너지(주)코리아주유소,경기 고양시 일산동구 고봉로 788 (설문동),20260629,SK에너지,셀프,0,1854,1854,1600
A0005279,경기 고양시,사우디제 7 주유소,경기 고양시 일산동구 백마로 37 (장항동),20260629,SK에너지,일반,2437,1997,1977,0
A0005609,경기 고양시,산성주유소,경기 고양시 덕양구  행주로 59 (행주내동),20260629,HD현대오일뱅크,셀프,0,1847,1847,0
A0005528,경기 고양시,삼미상사(주)일산제일주유소,경기 고양시 일산동구 고봉로 473,20260629,SK에너지,셀프,0,1874,1864,0
A0015996,경기 고양시,삼송뉴시티주유소,경기 고양시 덕양구 고양대로 1960 (동산동),20260629,S-OIL,셀프,0,1971,1961,0
A0005250,경기 고양시,삼일주유소,경기 고양시 일산동구 견달산로 252 (식사동),20260629,SK에너지,일반,0,2099,2099,0
A0005238,경기 고양시,삼호주유소,경기 고양시 덕양구 흥도로 404 (성사동),20260629,HD현대오일뱅크,일반,0,1968,1958,0
A0033063,경기 고양시,서오능SELF주유소/충전소,경기 고양시 덕양구 권율대로 450-1,20260629,SK에너지,셀프,0,2057,2047,0
A0005264,경기 고양시,설문IC셀프주유소,경기 고양시 일산동구 고봉로 799,20260629,HD현대오일뱅크,셀프,0,1854,1854,0
A0005258,경기 고양시,송산주유소,경기 고양시 일산서구 송산로 176,20260629,GS칼텍스,셀프,0,1996,1995,0
A0005157,경기 고양시,시청앞주유소,경기 고양시 덕양구 고양대로 1303 (주교동),20260629,S-OIL,셀프,2312,1884,1884,0
A0000643,경기 고양시,식사주유소,경기 고양시 일산동구 고양대로 1137 (식사동),20260629,S-OIL,셀프,0,1987,1977,0
A0005149,경기 고양시,신덕이로주유소,경기 고양시 일산서구 덕이로 36 (덕이동),20260629,SK에너지,셀프,2264,1844,1844,0
A0005446,경기 고양시,신우에너지(주),경기 고양시 일산동구 고봉로 470,20260629,SK에너지,셀프,0,1864,1864,0
A0005577,경기 고양시,신우주유소,경기 고양시 일산동구 성현로 177,20260629,S-OIL,셀프,0,1897,1844,1480
A0005329,경기 고양시,싱글벙글주유소,경기 고양시 일산동구 장항로 122-8 (백석동),20260629,SK에너지,셀프,0,1999,1999,1700
A0005608,경기 고양시,씨앤에스에너지(주)구도일주유소 성석,경기 고양시 일산동구 고봉로 618 (성석동),20260629,S-OIL,일반,0,1999,1999,1730
A0005121,경기 고양시,씨앤에스유통㈜ 내유동주유소,경기 고양시 덕양구 통일로 1273 (내유동),20260629,S-OIL,셀프,2389,1972,1959,0
A0005459,경기 고양시,씨앤에스유통㈜ 신세계주유소,경기 고양시 일산동구 호수로 453,20260629,S-OIL,셀프,0,1977,1977,0
A0005272,경기 고양시,안곡주유소,경기 고양시 일산동구 고양대로 831,20260629,HD현대오일뱅크,셀프,0,1844,1844,0
A0011918,경기 고양시,오일필드㈜덕양지점,경기 고양시 덕양구 통일로 1020,20260629,자가상표,셀프,0,1894,1894,0
A0011916,경기 고양시,오토파워주유소,경기 고양시 덕양구 고양대로 1464 (성사동),20260629,HD현대오일뱅크,셀프,0,1977,1967,0
A0005309,경기 고양시,우리주유소,경기 고양시 일산동구 성현로 487,20260629,알뜰주유소,셀프,0,1969,1965,1700
A0013379,경기 고양시,우암주유소,경기 고양시 덕양구 벽제동 보광로 198,20260629,S-OIL,일반,0,1928,1928,0
A0005565,경기 고양시,우주주유소,경기 고양시 덕양구 호국로 1693,20260629,S-OIL,셀프,0,1855,1855,1600
A0033790,경기 고양시,원흥신도시주유소 ㈜지앤비에스에코,경기 고양시 덕양구 서오릉로 619,20260629,S-OIL,셀프,2284,1870,1860,0
A0000730,경기 고양시,원흥제2주유소,경기 고양시 일산동구 성현로 533 (사리현동),20260629,HD현대오일뱅크,셀프,0,1975,1955,1700
A0004234,경기 고양시,유정주유소,경기 고양시 덕양구 호수로 104 (토당동),20260629,GS칼텍스,셀프,0,1847,1847,1650
A0006879,경기 고양시,이산포주유소,경기도 고양시 일산서구  고양대로 114 (법곳동),20260629,S-OIL,일반,0,1895,1898,1550
A0005281,경기 고양시,일광에너비스 덕이동점 ㈜신흥에너비스,경기 고양시 일산서구  덕이로 299,20260629,GS칼텍스,셀프,0,1844,1844,0
A0009754,경기 고양시,일광에너비스 행주내동점,경기 고양시 덕양구 행주로 104 (행주내동),20260629,GS칼텍스,셀프,0,1844,1844,0
A0005190,경기 고양시,자유로주유소,경기 고양시 일산서구 이산포길 266 (법곳동),20260629,SK에너지,셀프,0,1997,1997,0
A0005180,경기 고양시,자유제일주유소,경기 고양시 덕양구 자유로 487 (행주외동),20260629,SK에너지,셀프,2437,1847,1847,0
A0005214,경기 고양시,장항주유소,경기 고양시 일산동구 장항로 277 (장항동),20260629,S-OIL,셀프,2344,1844,1844,1600
A0005604,경기 고양시,정상에너지(주)강매self주유소,경기 고양시 덕양구 중앙로 316 (도내동),20260629,SK에너지,셀프,2392,1844,1844,1700
A0005355,경기 고양시,제1자유로주유소,경기 고양시 덕양구 자유로 94,20260629,GS칼텍스,셀프,2427,1967,1937,1650
A0005547,경기 고양시,제2자유로주유소,경기 고양시 덕양구 제2자유로 154 (현천동),20260629,GS칼텍스,셀프,0,1967,1937,0
A0001896,경기 고양시,제이씨네트웍 고양주유소,경기 고양시 덕양구 호국로 730 고양주유소 S-oil (성사동),20260629,S-OIL,셀프,0,1971,1961,0
A0005372,경기 고양시,주식회사 케이씨 문봉주유소,경기 고양시 일산동구 문봉길 66 (문봉동),20260629,GS칼텍스,셀프,0,1979,1969,1700
A0005300,경기 고양시,중앙로주유소 케이제이에너지㈜,경기 고양시 덕양구 중앙로 113,20260629,SK에너지,셀프,0,1844,1844,0
A0005070,경기 고양시,지에스칼텍스㈜ 토당주유소,경기 고양시 덕양구 중앙로 637,20260629,GS칼텍스,셀프,2448,1918,1898,0
A0005397,경기 고양시,탄현기린주유소,경기 고양시 일산서구 탄중로 263,20260629,GS칼텍스,셀프,0,1999,1997,1700
A0005613,경기 고양시,태림주유소,경기 고양시 일산서구 송산로 406,20260629,HD현대오일뱅크,셀프,2353,1895,1885,0
A0005406,경기 고양시,터치주유소,경기 고양시 일산서구 송산로 194,20260629,S-OIL,일반,0,2019,1999,0
A0005614,경기 고양시,풍산셀프주유소,경기 고양시 일산동구 중산로 55 (중산동),20260629,SK에너지,셀프,0,1844,1844,0
A0000154,경기 고양시,하늘주유소,경기 고양시 덕양구 통일로 1096,20260629,S-OIL,일반,0,1939,1929,1400
A0006413,경기 고양시,한강주유소,경기 고양시 덕양구 행주로 57-28,20260629,알뜰주유소,셀프,0,1844,1844,0
A0005162,경기 고양시,한솔주유소,경기 고양시 덕양구 통일로 1015,20260629,GS칼텍스,셀프,0,1956,1926,1600
A0005288,경기 고양시,항공대주유소,경기 고양시 덕양구  중앙로 171 (화전동),20260629,GS칼텍스,셀프,2342,1844,1844,0
A0005302,경기 고양시,호수공원주유소,경기 고양시 일산동구 백마로 108 (장항동),20260629,SK에너지,셀프,2344,1844,1844,0
A0011915,경기 고양시,효자로주유소,경기 고양시 덕양구 일영로 127,20260629,GS칼텍스,셀프,0,1948,1938,0
A0008210,경기 과천시,HD현대오일뱅크㈜직영 선암셀프주유소,경기 과천시 중앙로 534,20260629,HD현대오일뱅크,셀프,2326,1941,1943,1657
A0008174,경기 과천시,경마장주유소,경기 과천시 중앙로 417 (과천동),20260629,SK에너지,셀프,0,1998,1995,1680
A0008218,경기 과천시,대성산업(주)과천주유소,경기 과천시 중앙로 144,20260629,GS칼텍스,일반,2445,2025,2015,0
A0008402,경기 광명시,(주)행운주유소,경기 광명시 부광로 309,20260629,SK에너지,셀프,0,1988,1978,1650
A0006886,경기 광명시,HD현대오일뱅크㈜직영 영진주유소,경기 광명시 범안로 984 (하안동),20260629,HD현대오일뱅크,일반,2340,1938,1914,0
A0008289,경기 광명시,IN-N-OUT주유소,경기 광명시 안양천로 463,20260629,SK에너지,셀프,0,1985,1975,0
A0012035,경기 광명시,KTX주유소,경기 광명시 오리로 121(일직동),20260629,GS칼텍스,일반,2644,2088,2078,0
A0006877,경기 광명시,㈜디오티디 광명반짝이주유소,경기 광명시 광명로 417,20260629,SK에너지,셀프,0,1846,1826,0
A0000004,경기 광명시,㈜지에스이앤알 하안단지주유소,경기 광명시 오리로 608 (소하동),20260629,GS칼텍스,셀프,2455,1979,1969,0
A0000253,경기 광명시,경동석유산업(주)고속철주유소,경기 광명시 광명로 207 (가학동),20260629,HD현대오일뱅크,셀프,0,1846,1826,0
A0008390,경기 광명시,경원주유소,경기 광명시 광명로 136,20260629,GS칼텍스,셀프,0,1868,1858,1670
A0006041,경기 광명시,광명제일주유소 지점,경기 광명시  범안로 608 (학온동),20260629,SK에너지,셀프,0,1938,1928,1600
A0008426,경기 광명시,광생주유소,경기 광명시 광명로 856 (광명동),20260629,S-OIL,일반,0,1846,1826,0
A0008276,경기 광명시,구름산주유소,경기 광명시 오리로 524 (소하동),20260629,SK에너지,일반,0,2089,2079,1780
A0006859,경기 광명시,대복주유소,경기 광명시 광명로 344 (노온사동),20260629,S-OIL,일반,0,1938,1928,0
A0008346,경기 광명시,덕안주유소,경기 광명시 오리로 270 (소하동),20260629,SK에너지,일반,0,2094,2083,0
A0008349,경기 광명시,백재주유소,경기 광명시 광명로 482,20260629,SK에너지,셀프,0,1968,1958,0
A0008301,경기 광명시,벌말주유소,경기 광명시 광명로 38 (가학동),20260629,SK에너지,셀프,0,1998,1998,0
A0006829,경기 광명시,삼성주유소,경기 광명시 범안로 925 (338-2) (하안동),20260629,SK에너지,셀프,0,1847,1827,0
A0006857,경기 광명시,옥길주유소,경기 광명시 금오로 846 (옥길동),20260629,HD현대오일뱅크,셀프,2458,1938,1928,1630
A0008322,경기 광명시,우주피엔씨(주) 새광명주유소,경기 광명시 시청로 115 (철산동),20260629,S-OIL,셀프,0,1955,1945,0
A0006856,경기 광명시,장미셀프주유소,경기 광명시 광명로 269 (노온사동),20260629,SK에너지,셀프,0,1898,1899,0
A0008422,경기 광명시,철산주유소,경기 광명시 오리로 883,20260629,HD현대오일뱅크,셀프,2460,1978,1978,0
A0005861,경기 광명시,큰사랑주유소,경기 광명시 금오로 659,20260629,GS칼텍스,셀프,0,1978,1967,1490
A0006858,경기 광명시,통일주유소,경기 광명시 광명로 561,20260629,GS칼텍스,셀프,2458,1938,1928,1600
A0006853,경기 광명시,피트인 광명하이웨이,경기 광명시 범안로 864 (하안동),20260629,HD현대오일뱅크,셀프,2398,1846,1826,0
A0008429,경기 광명시,하이웨이에너지,경기 광명시 광명로 769 (광명동),20260629,HD현대오일뱅크,셀프,2458,1938,1928,0
A0006855,경기 광명시,학온셀프주유소,경기 광명시 광명로 627 (광명동),20260629,SK에너지,셀프,0,1938,1928,0
A0008143,경기 광명시,한일주유소,경기 광명시 가학로 77 (가학동),20260629,SK에너지,일반,0,1979,1969,0
